date,open,high,low,close,volume
2020-01-11,0.00293952,0.00297198,0.00289197,0.00290573,94223943.0
2020-01-12,0.00289464,0.00295635,0.00287848,0.00293364,49775170.0
2020-01-13,0.00294206,0.00294513,0.0028921,0.00289905,66668055.0
2020-01-14,0.00289264,0.00319972,0.00289223,0.00314976,297610208.0
2020-01-15,0.00313801,0.00332768,0.0030994,0.00316152,262905054.0
2020-01-16,0.00317367,0.00317474,0.00305493,0.00310902,98583989.0
2020-01-17,0.00311797,0.00334398,0.00309339,0.00332167,280388650.0
2020-01-18,0.00331993,0.00336935,0.00326463,0.00335466,191378707.0
2020-01-19,0.0033576,0.00345057,0.00310809,0.00320332,161012185.0
2020-01-20,0.00320559,0.00324179,0.00313467,0.00317367,95126694.0
2020-01-21,0.00317367,0.00319932,0.00309967,0.00316205,130661575.0
2020-01-22,0.00315003,0.00319291,0.00311931,0.00313013,72204081.0
2020-01-23,0.00312959,0.003136,0.00297198,0.00300724,120187526.0
2020-01-24,0.00301205,0.0030568,0.00293431,0.00303182,72913429.0
2020-01-25,0.00303289,0.00303315,0.00297398,0.00300671,74227952.0
2020-01-26,0.00300497,0.00308431,0.0029872,0.00305265,62787676.0
2020-01-27,0.00306013,0.00324193,0.00301338,0.0031515,189983953.0
2020-01-28,0.0031515,0.0032641,0.00313894,0.00326076,132996335.0
2020-01-29,0.00326276,0.00326944,0.00316699,0.0031877,113185519.0
2020-01-30,0.0031877,0.00323819,0.00314482,0.00322443,78294104.0
2020-01-31,0.00322763,0.00326584,0.00315497,0.00317581,106455643.0
2020-02-01,0.00317581,0.00322844,0.00316966,0.00322844,69780779.0
2020-02-02,0.00322149,0.0033417,0.00320372,0.00325996,140214787.0
2020-02-03,0.00325876,0.00333917,0.00322349,0.00322657,147181393.0
2020-02-04,0.00322803,0.00336308,0.00320306,0.00336187,243323349.0
2020-02-05,0.00336187,0.00351749,0.0033023,0.00344963,456737744.0
2020-02-06,0.00344923,0.00359255,0.00343227,0.00356023,245310854.0
2020-02-07,0.00355863,0.00374002,0.00353966,0.00372506,266969073.0
2020-02-08,0.00373962,0.00436433,0.00363503,0.00423557,1122954168.0
2020-02-09,0.00424024,0.00653167,0.00411135,0.00430569,1307461248.0
2020-02-10,0.00429501,0.0043837,0.00379572,0.00396215,810781064.0
2020-02-11,0.00395614,0.00413352,0.00379184,0.00404723,584824864.0
2020-02-12,0.00404723,0.0042166,0.00400716,0.00408583,621222834.0
2020-02-13,0.00408717,0.00428766,0.00393276,0.00402479,570152846.0
2020-02-14,0.00402025,0.00419189,0.00397457,0.00414968,305515579.0
2020-02-15,0.00415396,0.00424345,0.00379344,0.00387773,320372009.0
2020-02-16,0.00387105,0.00395654,0.00347594,0.00367617,417846263.0
2020-02-17,0.00366989,0.00368138,0.00337149,0.00360631,273787797.0
2020-02-18,0.00358227,0.00382764,0.00354473,0.00377822,344021674.0
2020-02-19,0.00378663,0.00382216,0.00342252,0.00348423,156007562.0
2020-02-20,0.00347688,0.003995,0.00339473,0.00354367,268076623.0
